Id;Startzeit;Fertigstellungszeit;E-Mail;Name;"Hallo und vielen Dank für die Beteiligung an unserer Mini-Studie. Die Befragung dauert nur 5 Minuten.

Im ersten Teil der Befragung möchten wir euch bitten Fragen nach der LMX-7 Methode über eure Führ";"Bitte kreuze für die folgenden Fragen immer jeweils die Option an, die am besten zutrifft.
";Weißt du normalerweise, wie zufrieden deine  Führungskraft mit dem ist, was du tust?.;Wie gut versteht deine Führungskraft deine beruflichen Probleme und Bedürfnisse?.;"Wie gut erkennt deine Führungskraft dein Potenzial?
.";Unabhängig von der Positionsmacht deiner Führungskraft - wie hoch sind die Chancen, dass deine Führungskraft ihren Einfluss nutzen würde, um dir bei der Lösung von Problemen in der Arbeit zu helfen?.;Nochmals unabhängig von der Positionsmacht deiner Führungskraft - wie stehen die Chancen, dass sie dir auf ihre Kosten „aus der Patsche helfen“ würde?.;Wie sehr trifft die folgende Aussage auf dich zu: Ich respektiere meine Führungskraft so, dass ich ihre Entscheidung verteidigen und rechtfertigen würde, wenn sie nicht anwesend wäre..;"Wie würdest du deine Arbeitsbeziehung zu deiner Führungskraft beschreiben?
.";Hast du deine Führungskraft im vorherigen Abschnitt größtenteils negativ, neutral oder größtenteils positiv bewertet?.;"Würdest du sagen, dass die Gesamtheit der Fragen und deine Antworten darauf die Beziehung zu deiner Führungskraft gut widerspiegeln?
.";"Stelle dir vor, deine Führungskraft würde den LMX-7 Fragebogen aus ihrer Sicht ausfüllen. Glaubst du es gäbe eine Diskrepanz zwischen euren Antworten?
.";Stelle dir vor, deine Führungskraft bekommt deine Antworten anonym als Feedback zur Verfügung gestellt. Glaubst du sie könnte damit als Grundlage positive Veränderungen an ihrem Führungsstil bewirken?;"Welches weitere Feedback hast du zur LMX-7 Methode, welches du bisher nicht äußern konntest?
"
1;20.12.2024 16:56;20.12.2024 16:59;anonymous;;;;Oft;Einigermaßen;Einigermaßen;Gering;Keine;Neutral;Durchschnittlich;Neutral;Trifft zu;Trifft voll und ganz zu;Neutral;
2;20.12.2024 16:56;20.12.2024 16:59;anonymous;;;;Oft;Gar nicht;Ein wenig;Hoch;Gering;Neutral;Extrem ineffektiv;Neutral;Trifft zu;Trifft voll und ganz zu;Trifft zu;Einfacher guter Test
3;20.12.2024 17:01;20.12.2024 17:07;anonymous;;;;Oft;Ziemlich gut;Einigermaßen;Mäßig;Gering;Trifft voll und ganz zu;Durchschnittlich;Größtenteils positiv;Trifft zu;Trifft wenig zu;Trifft zu;
4;20.12.2024 17:09;20.12.2024 17:11;anonymous;;;;Sehr oft;Einigermaßen;Ziemlich gut;Gering;Hoch;Trifft zu;Überdurchschnittlich gut;Größtenteils positiv;Trifft zu;Trifft gar nicht zu;Neutral;
5;20.12.2024 17:12;20.12.2024 17:12;anonymous;;;;Oft;Einigermaßen;Ziemlich gut;Mäßig;Gering;Trifft wenig zu;Überdurchschnittlich gut;Größtenteils positiv;Neutral;Trifft zu;Trifft gar nicht zu;
6;20.12.2024 17:11;20.12.2024 17:17;anonymous;;;;Sehr oft;Sehr gut;Sehr gut;Sehr hoch;Hoch;Trifft voll und ganz zu;Sehr effektiv;Größtenteils positiv;Trifft wenig zu;Trifft wenig zu;Trifft wenig zu;
7;20.12.2024 17:15;20.12.2024 17:17;anonymous;;;;Selten;Gar nicht;Einigermaßen;Hoch;Keine;Trifft gar nicht zu;Durchschnittlich;Größtenteils negativ;Trifft wenig zu;Trifft voll und ganz zu;Trifft zu;
8;20.12.2024 17:09;20.12.2024 17:18;anonymous;;;;Oft;Einigermaßen;Einigermaßen;Sehr hoch;Mäßig;Trifft zu;Durchschnittlich;Neutral;Neutral;Trifft zu;Neutral;"1. Es fehlt der Punkt ""wie oft versuchst du deine Führungskraft von deinem fehlenden Potenzial zu überzeugen?"" Und 2. es fließt irgendwie nicht mit ein, dass ein guter Vorgesetzter im Normalfall seine Mitarbeiter schützt und umgekehrt. Kein Vertrauen/Nicht wissen, dass man aufeinander bauen kann =/= gutes Arbeitsklims 3. Konntet ihr die Feedbackspalte nicht noch kleiner machen? Ein Zeile breit für viel Text - viel zu viel Platz hier/s "
9;20.12.2024 17:14;20.12.2024 17:23;anonymous;;;;Gelegentlich;Einigermaßen;Ziemlich gut;Hoch;Gering;Neutral;Überdurchschnittlich gut;Neutral;Trifft zu;Neutral;Neutral;
10;20.12.2024 17:33;20.12.2024 17:35;anonymous;;;;Sehr oft;Einigermaßen;Ziemlich gut;Hoch;Mäßig;Trifft wenig zu;Überdurchschnittlich gut;Größtenteils positiv;Trifft zu;Trifft zu;Neutral;
